7.424297332763671875e-01,1.441236436367034912e-01,1.110121374949812889e-03,1.018835827708244324e-01,1.404163631377741694e-04,1.031258050352334976e-02
9.036529064178466797e-01,6.008863076567649841e-02,3.422245150431990623e-03,2.188679203391075134e-02,7.705590687692165375e-04,1.017884723842144012e-02
9.057096242904663086e-01,4.400545358657836914e-02,1.558291073888540268e-02,1.145137101411819458e-02,5.185330286622047424e-03,1.806531846523284912e-02
8.620190024375915527e-01,5.060363188385963440e-02,2.213281020522117615e-02,1.845365576446056366e-02,9.105051867663860321e-03,3.768587484955787659e-02
7.234551310539245605e-01,1.308573633432388306e-01,3.592750430107116699e-02,6.069243326783180237e-02,8.139335550367832184e-03,4.092814773321151733e-02
6.013073921203613281e-01,2.138496339321136475e-01,3.557276725769042969e-02,4.373331740498542786e-02,1.420526113361120224e-02,9.133160114288330078e-02
5.419557690620422363e-01,1.789578348398208618e-01,4.361730068922042847e-02,4.760626703500747681e-02,3.286300227046012878e-02,1.549998372793197632e-01
4.430162906646728516e-01,2.484759390354156494e-01,6.299060583114624023e-02,3.737616539001464844e-02,7.066763937473297119e-02,1.374733299016952515e-01
4.863581359386444092e-01,2.808412313461303711e-01,6.003526598215103149e-02,1.993937417864799500e-02,4.604263231158256531e-02,1.067833080887794495e-01
5.227349400520324707e-01,2.978579401969909668e-01,6.040714681148529053e-02,2.198586054146289825e-02,4.054823890328407288e-02,5.646594241261482239e-02
4.103190898895263672e-01,4.741275608539581299e-01,5.824617668986320496e-02,2.372066862881183624e-02,1.692215166985988617e-02,1.666433177888393402e-02
5.400294661521911621e-01,3.459192216396331787e-01,4.313619434833526611e-02,2.499955892562866211e-02,1.180756930261850357e-02,3.410803526639938354e-02
4.203008413314819336e-01,4.486685693264007568e-01,3.029747121036052704e-02,5.680351704359054565e-02,5.326298065483570099e-03,3.860339149832725525e-02
4.299324154853820801e-01,4.130315482616424561e-01,3.246665000915527344e-02,7.684878259897232056e-02,4.185777623206377029e-03,4.353487119078636169e-02
3.318352699279785156e-01,5.743712186813354492e-01,2.497561462223529816e-02,3.788489848375320435e-02,3.669056342914700508e-03,2.726400643587112427e-02
2.604205012321472168e-01,6.768153905868530273e-01,2.061406336724758148e-02,2.682696841657161713e-02,1.991997938603162766e-03,1.333113666623830795e-02
3.234171569347381592e-01,6.473919153213500977e-01,1.315692998468875885e-02,8.911950513720512390e-03,1.502251951023936272e-03,5.619780160486698151e-03
3.401884436607360840e-01,6.254265308380126953e-01,1.596932858228683472e-02,1.063438504934310913e-02,1.780261984094977379e-03,6.001048721373081207e-03
3.958318531513214111e-01,5.678715109825134277e-01,1.638426445424556732e-02,9.840192273259162903e-03,2.454862929880619049e-03,7.617266383022069931e-03
5.757266283035278320e-01,3.630296587944030762e-01,1.422955375164747238e-02,1.017084065824747086e-02,4.499303642660379410e-03,3.234396502375602722e-02
4.592581391334533691e-01,4.275651872158050537e-01,3.801334649324417114e-02,2.234730310738086700e-02,5.736378021538257599e-03,4.707963392138481140e-02
6.297226548194885254e-01,2.096832096576690674e-01,3.764619678258895874e-02,5.233952775597572327e-02,5.410873796790838242e-03,6.519756466150283813e-02
6.128737330436706543e-01,1.369221955537796021e-01,5.991601571440696716e-02,1.262506693601608276e-01,5.839604884386062622e-03,5.819775164127349854e-02
6.040368080139160156e-01,1.108185350894927979e-01,5.997812747955322266e-02,2.023850232362747192e-01,3.192443866282701492e-03,1.958906278014183044e-02
5.409982800483703613e-01,2.948205173015594482e-01,6.786771118640899658e-02,7.859014719724655151e-02,5.439694039523601532e-03,1.228367164731025696e-02
7.097306251525878906e-01,2.192549705505371094e-01,2.370368875563144684e-02,3.001034259796142578e-02,4.397323355078697205e-03,1.290303468704223633e-02
7.551578283309936523e-01,1.967969834804534912e-01,2.006924897432327271e-02,1.347568817436695099e-02,4.596536979079246521e-03,9.903634898364543915e-03
7.979422211647033691e-01,1.568420678377151489e-01,1.544651761651039124e-02,1.507022790610790253e-02,3.161686705425381660e-03,1.153722032904624939e-02
8.866574764251708984e-01,6.134301796555519104e-02,1.191135030239820480e-02,2.800011821091175079e-02,1.761915977112948895e-03,1.032627280801534653e-02
8.736706972122192383e-01,5.775078758597373962e-02,1.688907854259014130e-02,3.798196092247962952e-02,2.691337605938315392e-03,1.101611927151679993e-02
8.091754913330078125e-01,1.012444347143173218e-01,2.481495030224323273e-02,4.586952179670333862e-02,4.789224825799465179e-03,1.410641707479953766e-02
6.647405028343200684e-01,2.181818485260009766e-01,3.697010874748229980e-02,5.529893562197685242e-02,8.593582548201084137e-03,1.621493510901927948e-02
5.251414775848388672e-01,3.935032188892364502e-01,3.039533458650112152e-02,2.851963229477405548e-02,9.918173775076866150e-03,1.252221316099166870e-02
4.784554839134216309e-01,4.444565176963806152e-01,3.080392815172672272e-02,1.979333162307739258e-02,1.395996008068323135e-02,1.253078784793615341e-02
4.784590303897857666e-01,4.444530904293060303e-01,3.080372512340545654e-02,1.979302987456321716e-02,1.395998336374759674e-02,1.253104768693447113e-02
4.784593582153320312e-01,4.444528222084045410e-01,3.080371208488941193e-02,1.979304850101470947e-02,1.395996380597352982e-02,1.253106258809566498e-02
4.784594774246215820e-01,4.444527029991149902e-01,3.080370090901851654e-02,1.979307644069194794e-02,1.395994983613491058e-02,1.253106817603111267e-02
4.784595370292663574e-01,4.444527328014373779e-01,3.080369159579277039e-02,1.979308947920799255e-02,1.395992841571569443e-02,1.253107655793428421e-02
4.784596264362335205e-01,4.444525837898254395e-01,3.080367483198642731e-02,1.979310065507888794e-02,1.395991817116737366e-02,1.253107562661170959e-02
4.784596860408782959e-01,4.444525539875030518e-01,3.080367110669612885e-02,1.979310438036918640e-02,1.395989954471588135e-02,1.253107748925685883e-02
4.784597456455230713e-01,4.444524347782135010e-01,3.080366179347038269e-02,1.979311555624008179e-02,1.395989861339330673e-02,1.253107562661170959e-02
4.784597456455230713e-01,4.444524347782135010e-01,3.080366179347038269e-02,1.979312673211097717e-02,1.395989116281270981e-02,1.253107935190200806e-02
4.784598648548126221e-01,4.444523751735687256e-01,3.080365434288978577e-02,1.979313977062702179e-02,1.395988464355468750e-02,1.253108214586973190e-02
4.784598648548126221e-01,4.444522857666015625e-01,3.080365434288978577e-02,1.979313977062702179e-02,1.395987533032894135e-02,1.253108214586973190e-02
4.784599244594573975e-01,4.444522857666015625e-01,3.080365248024463654e-02,1.979314722120761871e-02,1.395986974239349365e-02,1.253108866512775421e-02
4.784599244594573975e-01,4.444522261619567871e-01,3.080365248024463654e-02,1.979315094649791718e-02,1.395986601710319519e-02,1.253108866512775421e-02
4.784599244594573975e-01,4.444522857666015625e-01,3.080365248024463654e-02,1.979315653443336487e-02,1.395986322313547134e-02,1.253109239041805267e-02
4.784600734710693359e-01,4.444521963596343994e-01,3.080364689230918884e-02,1.979316771030426025e-02,1.395986042916774750e-02,1.253109239041805267e-02
4.784600138664245605e-01,4.444521367549896240e-01,3.080364316701889038e-02,1.979316957294940948e-02,1.395985856652259827e-02,1.253109518438577652e-02
4.784600138664245605e-01,4.444521367549896240e-01,3.080364316701889038e-02,1.979316957294940948e-02,1.395985577255487442e-02,1.253109797835350037e-02
4.784600734710693359e-01,4.444520473480224609e-01,3.080363944172859192e-02,1.979317702353000641e-02,1.395985390990972519e-02,1.253109611570835114e-02
4.784601330757141113e-01,4.444520473480224609e-01,3.080363571643829346e-02,1.979317888617515564e-02,1.395985297858715057e-02,1.253110077232122421e-02
4.784601330757141113e-01,4.444520473480224609e-01,3.080364316701889038e-02,1.979317888617515564e-02,1.395985297858715057e-02,1.253110077232122421e-02
4.784601926803588867e-01,4.444519877433776855e-01,3.080363385379314423e-02,1.979318819940090179e-02,1.395985111594200134e-02,1.253110263496637344e-02
4.784601330757141113e-01,4.444519877433776855e-01,3.080363012850284576e-02,1.979318819940090179e-02,1.395984925329685211e-02,1.253110449761152267e-02
4.784601926803588867e-01,4.444519877433776855e-01,3.080363385379314423e-02,1.979319006204605103e-02,1.395984459668397903e-02,1.253110542893409729e-02
4.784601926803588867e-01,4.444519877433776855e-01,3.080363385379314423e-02,1.979319006204605103e-02,1.395984459668397903e-02,1.253110822290182114e-02
4.784601926803588867e-01,4.444519877433776855e-01,3.080363385379314423e-02,1.979319006204605103e-02,1.395983807742595673e-02,1.253110822290182114e-02
4.784601926803588867e-01,4.444519877433776855e-01,3.080363385379314423e-02,1.979320123791694641e-02,1.395983807742595673e-02,1.253110822290182114e-02
4.784601926803588867e-01,4.444519281387329102e-01,3.080362267792224884e-02,1.979319564998149872e-02,1.395983807742595673e-02,1.253110822290182114e-02
4.784601926803588867e-01,4.444519877433776855e-01,3.080362267792224884e-02,1.979320123791694641e-02,1.395983807742595673e-02,1.253111194819211960e-02
4.784602522850036621e-01,4.444519877433776855e-01,3.080362640321254730e-02,1.979320496320724487e-02,1.395983248949050903e-02,1.253111381083726883e-02
4.784602522850036621e-01,4.444519877433776855e-01,3.080362640321254730e-02,1.979320682585239410e-02,1.395983248949050903e-02,1.253111008554697037e-02
4.784602820873260498e-01,4.444519579410552979e-01,3.080362826585769653e-02,1.979320496320724487e-02,1.395983342081308365e-02,1.253111101686954498e-02
4.784602820873260498e-01,4.444518685340881348e-01,3.080362826585769653e-02,1.979320868849754333e-02,1.395982969552278519e-02,1.253111101686954498e-02
4.784602820873260498e-01,4.444518685340881348e-01,3.080362081527709961e-02,1.979320868849754333e-02,1.395982690155506134e-02,1.253111474215984344e-02
4.784602820873260498e-01,4.444519579410552979e-01,3.080362081527709961e-02,1.979321427643299103e-02,1.395982690155506134e-02,1.253111101686954498e-02
4.784602522850036621e-01,4.444519877433776855e-01,3.080361895263195038e-02,1.979321241378784180e-02,1.395982597023248672e-02,1.253111381083726883e-02
4.784602522850036621e-01,4.444519877433776855e-01,3.080361895263195038e-02,1.979321241378784180e-02,1.395982597023248672e-02,1.253111381083726883e-02
4.784602522850036621e-01,4.444520473480224609e-01,3.080362640321254730e-02,1.979321800172328949e-02,1.395982597023248672e-02,1.253111660480499268e-02
4.784602820873260498e-01,4.444519579410552979e-01,3.080362081527709961e-02,1.979321427643299103e-02,1.395982690155506134e-02,1.253111660480499268e-02
4.784602820873260498e-01,4.444519281387329102e-01,3.080362081527709961e-02,1.979321427643299103e-02,1.395982690155506134e-02,1.253111101686954498e-02
4.784602820873260498e-01,4.444518685340881348e-01,3.080362081527709961e-02,1.979321427643299103e-02,1.395982038229703903e-02,1.253111101686954498e-02
4.784603416919708252e-01,4.444518089294433594e-01,3.080361708998680115e-02,1.979321613907814026e-02,1.395982224494218826e-02,1.253111567348241806e-02
4.784603416919708252e-01,4.444518089294433594e-01,3.080362454056739807e-02,1.979321613907814026e-02,1.395982224494218826e-02,1.253111846745014191e-02
4.784603416919708252e-01,4.444518089294433594e-01,3.080361708998680115e-02,1.979321613907814026e-02,1.395981851965188980e-02,1.253111567348241806e-02
4.784604012966156006e-01,4.444518089294433594e-01,3.080362081527709961e-02,1.979321986436843872e-02,1.395981758832931519e-02,1.253111381083726883e-02
4.784604012966156006e-01,4.444517791271209717e-01,3.080362081527709961e-02,1.979322358965873718e-02,1.395981758832931519e-02,1.253111753612756729e-02
4.784603416919708252e-01,4.444518089294433594e-01,3.080361708998680115e-02,1.979322172701358795e-02,1.395981572568416595e-02,1.253111194819211960e-02
4.784603416919708252e-01,4.444518089294433594e-01,3.080361708998680115e-02,1.979322172701358795e-02,1.395981572568416595e-02,1.253111846745014191e-02
4.784603416919708252e-01,4.444518089294433594e-01,3.080361708998680115e-02,1.979322172701358795e-02,1.395981572568416595e-02,1.253111846745014191e-02
4.784603416919708252e-01,4.444518089294433594e-01,3.080361708998680115e-02,1.979322172701358795e-02,1.395981572568416595e-02,1.253111846745014191e-02
4.784603416919708252e-01,4.444518685340881348e-01,3.080361708998680115e-02,1.979322172701358795e-02,1.395981572568416595e-02,1.253111567348241806e-02
4.784603416919708252e-01,4.444518685340881348e-01,3.080361708998680115e-02,1.979322172701358795e-02,1.395981572568416595e-02,1.253111846745014191e-02
